,0,1
c37d0fe1-aa61-4869-9e7b-238edfc8cff7,[0.61368569 0.25       0.09843622 0.18676894],8668.264843939944
3e557c72-224b-42b1-9195-215a02fab06f,[0.827437   0.25       0.25       0.03029412],755.1081216079432
bba4cdc2-52ab-4973-ace0-6f3a69d9e99a,[0.40155494 0.25       0.23607968 0.11791871],7535.207429597546
dfc0bbb6-8e92-40dd-b2f4-db7826bcc439,[0.78324059 0.25       0.25       0.06862107],1081.5337985049512
1d1c0a1f-a9e0-4b1c-b623-a09a9e006e91,[0.70098207 0.25       0.25       0.06936289],14166.438878040928
b320016c-d650-4264-9f30-d44598a76d3b,[0.61880072 0.25       0.25       0.02570692],13373.765648583092
e07c3fbb-ebbb-4ee0-b7b9-3befb6741231,[0.68341299 0.25       0.22010528 0.14281844],1691.035277022696
c55e058a-c77f-40a1-9fc8-c1a9813adecd,[0.72454141 0.25       0.21081614 0.12979135],11070.909787490566
cc312e25-cf99-4cee-9bee-337964a79de5,[0.62165229 0.25       0.24014912 0.06280421],3729.911940853883
7a5f5dec-dbb5-4da9-a1e9-887e1e7bd775,[0.78918955 0.25       0.25       0.23431743],3001.1882507630876
219be10e-5e95-4ff4-bbfc-5f3f81a7e5ec,[0.61407709 0.25       0.25       0.13594398],9705.820413984397
db7499bc-7c40-405c-b9d5-6f08da00b03a,[0.93212197 0.25       0.25       0.14042531],1652.9698863697429
efc94504-d2d7-4035-b0f5-e4662ecc05fd,[0.55246922 0.25       0.25       0.10138475],3832.5745405495254
2ddf806d-9c06-448c-8d6a-41d9d8636919,[0.80311859 0.25       0.22111934 0.15569041],4738.565577475513
8c1d430b-e9c9-4ce9-bc95-73f1dc9be978,[0.28547682 0.25       0.25       0.08181259],5570.210758541915
9e3b2ceb-455b-403a-8a09-41e28c123502,[0.73194751 0.25       0.21812033 0.01      ],9867.345851006901
6975ec57-5536-431e-81d5-6294b1d84ef2,[0.61424745 0.25       0.25       0.15865805],8722.345914976957
ca9103e9-277b-41dc-b9fc-085fcbbadf00,[0.46640954 0.25       0.18884771 0.12299063],7722.291016997714
a811847a-a89e-4678-b1ac-16c22577cd68,[0.77625504 0.25       0.20292234 0.0250106 ],2317.415398259215
82614980-e58e-49fc-8285-d67ee900fea8,[0.72472047 0.25       0.23750908 0.08500705],6796.374972351895
d5e00574-a1b1-40c3-a6d8-ae410fa51f7b,[0.4561463  0.25       0.25       0.06725292],9823.668135397385
f47191fa-2695-4fbe-bbfc-76f195b3c666,[0.44087879 0.25       0.25       0.01908583],11500.162078854612
c2a955b7-f610-4a26-abbb-fbb79a56c2cb,[0.68519358 0.25       0.24013702 0.02508503],8379.839920067861
84cb019d-16a9-4997-9de4-75d362ba695a,[0.39804982 0.25       0.22352215 0.16435347],9826.931541739257
2c2187a7-c21f-4a23-b0f9-585ff755f581,[0.66605717 0.22862039 0.10478319 0.18116853],4902.4045670427695
22007069-6ec4-4f9d-ab3a-6f2364edf08e,[0.86487151 0.25       0.20867651 0.0469911 ],11778.16182730995
092409e7-ac6c-4955-af8f-0cc33dd99815,[0.65323897 0.25       0.11666458 0.01      ],7146.437526203832
41a40b58-7830-4edb-a789-81bcfede6176,[0.53396823 0.25       0.10933248 0.058486  ],1061.518606246901
453a5e1c-4751-4eb3-a44c-f56701b0bc84,[0.38622271 0.25       0.17928904 0.12723129],7076.670026354207
53c010a7-2a5f-48dc-b99f-7ca5c1e1732a,[0.78970097 0.25       0.25       0.04858729],5892.350607071532
511c499b-3ded-4d50-a6e4-c87f92389e37,[0.84220683 0.25       0.11764539 0.16267561],5085.872043055153
f5b19dba-5ccb-4059-801e-ec06538f4e29,[0.49209608 0.25       0.19923231 0.27720267],4356.430718268384
c953c9c0-c14a-408e-a187-5165f2aad71c,[0.53571598 0.25       0.25       0.06796772],12274.41139211501
28b0a208-feaa-4237-9176-5e1e0fab096f,[0.79758769 0.25       0.19352142 0.07753031],1309.5132094995556
d7c88a27-4000-42ff-8fce-98c1685e84e0,[0.34984969 0.25       0.13565797 0.01      ],7003.952290156705
07483f12-8a25-401c-b65d-ceb45c2e5410,[0.55919325 0.25       0.21881304 0.200673  ],12777.734770935022
67f280c2-1a9c-4ccf-92aa-d5e727969ed8,[0.50643866 0.25       0.17941878 0.13907346],7713.728208360612
d9d243e6-ba38-4489-9278-007c12a333de,[0.65776562 0.25       0.25       0.10434279],10812.203181040775
7a07e77f-da9d-4c42-be68-b2d832c9ea72,[0.67270536 0.25       0.06335986 0.01424392],5487.840453156408
5f9b7810-38cd-4ab4-aaa7-41cf47b3b98c,[0.79673395 0.25       0.14392832 0.03963979],594.8907778909362
da8acae2-ec99-4a81-acdf-c52c402ced36,[0.75365171 0.25       0.25       0.01      ],3003.9017446427474
39847657-151a-46cd-bdae-785df85057eb,[0.47201617 0.25       0.25       0.13731874],4102.247739657603
3a24cf07-163e-451c-805b-909e4680eaf3,[0.88594422 0.25       0.13613462 0.04582386],5521.700551013424
f5084bd3-d37e-4ebb-8804-c0c0f3caae3d,[0.41826993 0.25       0.25       0.04251646],11103.278495354425
4ac2adea-64a6-4100-8199-708950989819,[0.62616119 0.25       0.20324571 0.12499594],9682.150407221567
9c5e6922-eb36-4879-85f4-887981cf6fe1,[0.82958511 0.25       0.07782393 0.06892022],404.2794254193355
f6f02c80-c0df-4444-9fdc-1245031042f8,[0.4126482  0.25       0.18772242 0.01067311],17205.087538080526
dd46501d-4c4c-4cef-a49b-c2c8e133a831,[0.33461351 0.25       0.25       0.05252805],7944.337008181783
2a9bf20a-3caf-40d8-a28e-fd82d93a0278,[0.66569629 0.25       0.20964081 0.0943675 ],6208.920407674729
3400c8e2-a3fe-40f8-8d73-3b5088ff2538,[0.6139379  0.25       0.11715019 0.19768627],10141.05991546784
a362c662-d453-4437-98b6-5d1139b5f88b,[0.39241856 0.25       0.25       0.08877267],8581.25792748112
bbd8201e-8ccb-485a-95a8-e42c5ee69363,[0.12028037 0.22694894 0.25       0.05086334],3049.9720208334525
e9aa7642-6b8c-46fe-9e88-eb2edd5e4796,[0.62727515 0.25       0.24245474 0.06152609],11515.528017336917
